City,Airport,Lat,Lon
"Greencastle, United States",4I7,39.6335556,-86.8138056
"Dowagiac, United States",C91,41.9929342,-86.1280125
"Cambridge, United States",CDI,39.9750278,-81.5775833
"Sturgeon Bay, United States",SUE,44.8436667,-87.4215556
"Stewartstown, United States",0P2,39.7948244,-76.6471914
"Pendleton, United States",PDT,45.695,-118.841389
"Tyonek, United States",TYE,61.076667,-151.138056
"Riverton WY, United States",RIW,43.064167,-108.459722
"Montrose CO, United States",MTJ,38.509794,-107.894242
"Bolingbrook, United States",1CS,41.6959744,-88.1292306
"Kenosha, United States",ENW,42.5956944,-87.9278056
"Las Vegas, United States",VGT,36.2106944,-115.1944444
"Lake Geneva, United States",C02,42.6149167,-88.3895833
"De Kalb, United States",DKB,41.9338342,-88.7056864
"Lafayette, United States",LAF,40.4123056,-86.9368889
"Oxford, United States",OXD,39.5022607,-84.7843814
"Muncie, United States",MIE,40.2424722,-85.39575
"Point Roberts, United States",1RL,48.9797222,-123.0788889
"Macomb, United States",MQB,40.5200833,-90.6523889
"Wausau, United States",AUW,44.9262845,-89.6270018
"Portage, United States",C47,43.5603136,-89.4828607
"Ironwood, United States",IWD,46.5274747,-90.1313967
"Mackinac Island, United States",MCD,45.8649344,-84.637344
"Grand Marais, United States",GRM,47.8383333,-90.3829444
"Valparaiso, United States",NPZ,41.4539722,-87.0070833
"McCarthy, United States",MXY,61.4370608,-142.90307372
"Seward, United States",SWD,60.1269383,-149.4188122
"Michigan City, United States",MGC,41.7033,-86.8211
"Allakaket, United States",AET,66.5519,-152.6222
"Yakutat, United States",YAK,59.3012,-139.3937
"Marquette, United States",MQT,46.353611,-87.395278
"Iron Mountain, United States",IMT,45.8183611,-88.1145556
"Escanaba, United States",ESC,45.722778,-87.093611
"Marion, United States",MWA,37.7549569,-89.0110936
"Barter Island, United States",BTI,70.133989,-143.581867
"Fort Wainwright, United States",K03,70.613378,-159.86035
"Cape Lisburne, United States",LUR,68.875133,-166.110022
"Point Lay, United States",PIZ,69.732875,-163.005342
"Hilo, United States",ITO,19.721375,-155.048469
"Orlando, United States",ORL,28.545464,-81.332936
"Bettles, United States",BTT,66.913944,-151.529056
"Clear Mews, United States",Z84,64.301203,-149.120144
"Indian Mountains, United States",UTO,65.992794,-153.704289
"Fort Yukon, United States",FYU,66.571492,-145.250417
"Sparrevohn, United States",SVW,61.097369,-155.574228
"Fort Richardson, United States",FRN,61.266381,-149.653119
"Tatalina, United States",TLJ,62.894369,-155.976525
"Cape Romanzof, United States",CZF,61.780297,-166.038747
"Bedford, United States",BED,42.469953,-71.289031
"St. Paul Island, United States",SNP,57.167333,-170.220444
"Cape Newenham, United States",EHM,58.646428,-162.062778
"Point Barrow, United States",PBV,56.578344,-169.661611
"Iliamna, United States",ILI,59.754356,-154.910961
"Port Moller, United States",PTU,59.011356,-161.819664
"Big Mountain, United States",BMX,59.361247,-155.258822
"Oscoda, United States",OSC,44.451558,-83.394053
"Fort Ord, United States",OAR,36.681878,-121.762347
"Sacramento, United States",MHR,38.553897,-121.297592
"Fort Irwin, United States",BYS,35.280531,-116.630031
"Twenty Nine Palms, United States",NXP,34.296161,-116.162203
"Fort Smith, United States",FSM,35.336583,-94.367444
"Anchorage, United States",MRI,61.213544,-149.844447
"Grants, United States",GNT,35.167286,-107.901989
"Ponca City, United States",PNC,36.731958,-97.099781
"Hunter Aaf, United States",SVN,32.01,-81.145683
"Grand Forks, United States",GFK,47.949256,-97.176111
"Pine Bluff, United States",PBF,34.173142,-91.935597
"Milton, United States",NSE,30.724167,-87.021944
"Hana, United States",HNM,20.795636,-156.014439
"Prescott, United States",PRC,34.654472,-112.419583
"Trenton, United States",TTN,40.276692,-74.813469
"Boston, United States",BOS,42.364347,-71.005181
"Fairfield, United States",SUU,38.262692,-121.927464
"Rome, United States",RME,43.2338,-75.407033
"Wendover, United States",ENV,40.718694,-114.030889
"Mobile, United States",BFM,30.626783,-88.068092
"Oakland, United States",OAK,37.721278,-122.220722
"Omaha, United States",OMA,41.303167,-95.894069
"Port Angeles, United States",NOW,48.141481,-123.414075
"Kahului, United States",OGG,20.89865,-156.430458
"Wichita, United States",ICT,37.649944,-97.433056
"Kansas City, United States",MCI,39.297606,-94.713905
"Madison, United States",MSN,43.139858,-89.337514
"Dillingham, United States",DLG,59.044667,-158.5055
"Harrison, United States",HRO,36.261519,-93.154728
"Phoenix, United States",PHX,33.434278,-112.011583
"Bangor, United States",BGR,44.807444,-68.828139
"Fort Lauderdale, United States",FXE,26.197281,-80.170706
"Longview, United States",GGG,32.384014,-94.711486
"Andersen, United States",AND,34.494583,-82.709389
"Spokane, United States",GEG,47.619861,-117.533833
"Hollywood, United States",HWO,26.001222,-80.240722
"San Francisco, United States",SFO,37.618972,-122.374889
"Cutbank, United States",CTB,48.608353,-112.376144
"Louisiana, United States",ARA,30.037758,-91.883896
"Gainesville, United States",GNV,29.690056,-82.271778
"Memphis, United States",MEM,35.042417,-89.976667
